LEXICON:	lex-germany.txt	GER	de_DE
LEXENTRY:	AG	AG	PLACEN	DETACH
LEXENTRY:	AKTIEN	AKTIEN	PLACEN	DETACH
LEXENTRY:	AKTIEN-GESELLSCHAFT	AKTIEN-GESELLSCHAFT	PLACEN	DETACH
LEXENTRY:	AKTIENGESELLSCHAFT	AKTIENGESELLSCHAFT	PLACEN	DETACH
LEXENTRY:	ALLEE	ALLEE	TYPE	DET_SUF,ATT_SUF
LEXENTRY:	ANSCHLUSSSTELLE	ANSCHLUSSSTELLE	TYPE	DET_PRE
LEXENTRY:	AUTOBAHNDREIECK	AUTOBAHNDREIECK	TYPE	DET_PRE
LEXENTRY:	AUTOBAHNKREUZ	AUTOBAHNKREUZ	TYPE	DET_PRE
LEXENTRY:	AVENUE	AVENUE	TYPE	DET_SUF
LEXENTRY:	BACH	BACH	TYPE,WORD	DET_SUF,DETACH,ATT_SUF
LEXENTRY:	BADEN-WÜRTTEMBERG	BADEN-WÜRTTEMBERG	PROV	DETACH
LEXENTRY:	BAVARIA	BAYERN	PROV	DETACH
LEXENTRY:	BAYERN	BAYERN	PROV	DETACH
LEXENTRY:	BD	BOULEVARD	TYPE	ATT_SUF
LEXENTRY:	BD.	BOULEVARD	TYPE	ATT_SUF
LEXENTRY:	BERG	BERG	TYPE	DET_SUF,ATT_SUF
LEXENTRY:	BERGWEG	BERGWEG	TYPE	ATT_SUF,DET_SUF
LEXENTRY:	BERLIN	BERLIN	PROV	DETACH
LEXENTRY:	BETRIEB	BETRIEB	PLACEN	DETACH
LEXENTRY:	BGB	BGB	PLACEN	DETACH
LEXENTRY:	BOGEN	BOGEN	TYPE	ATT_SUF,DET_SUF
LEXENTRY:	BOULEVARD	BOULEVARD	TYPE	ATT_SUF
LEXENTRY:	BRANDENBURG	BRANDENBURG	PROV	DETACH
LEXENTRY:	BREMEN	BREMEN	PROV	DETACH
LEXENTRY:	BRUCH	BRUCH	TYPE	ATT_SUF
LEXENTRY:	BRÜCKE	BRÜCKE	TYPE	ATT_SUF,DET_SUF
LEXENTRY:	BURG	BURG	TYPE	ATT_SUF,DET_SUF
LEXENTRY:	BÜHL	BÜHL	TYPE	ATT_SUF
LEXENTRY:	BÜHL 	BÜHL	TYPE	ATT_SUF
LEXENTRY:	CH	CHAUSSEE	TYPE	ATT_SUF,ATT_PRE
