LEXICON:	lex-liechtenstein.txt	GER	de_LI
LEXENTRY:	AG	AG	PLACEN	DETACH
LEXENTRY:	AKTIEN	AKTIEN	PLACEN	DETACH
LEXENTRY:	AKTIEN-GESELLSCHAFT	AKTIEN-GESELLSCHAFT	PLACEN	DETACH
LEXENTRY:	AKTIENGESELLSCHAFT	AKTIENGESELLSCHAFT	PLACEN	DETACH
LEXENTRY:	ALLEE	ALLEE	TYPE	DETACH,SUFFIX
LEXENTRY:	ANSCHLUSSSTELLE	ANSCHLUSSSTELLE	TYPE	DETACH
LEXENTRY:	AUTOBAHNDREIECK	AUTOBAHNDREIECK	TYPE	DETACH
LEXENTRY:	AUTOBAHNKREUZ	AUTOBAHNKREUZ	TYPE	DETACH
LEXENTRY:	AVENUE	AVENUE	TYPE	DETACH
LEXENTRY:	BACH	BACH	TYPE	DETACH,SUFFIX
LEXENTRY:	BD	BOULEVARD	TYPE	SUFFIX
LEXENTRY:	BD.	BOULEVARD	TYPE	SUFFIX
LEXENTRY:	BERG	BERG	TYPE	DETACH,SUFFIX
LEXENTRY:	BERGWEG	BERGWEG	TYPE	SUFFIX,DETACH
LEXENTRY:	BETRIEB	BETRIEB	PLACEN	DETACH
LEXENTRY:	BGB	BGB	PLACEN	DETACH
LEXENTRY:	BOGEN	BOGEN	TYPE	SUFFIX,DETACH
LEXENTRY:	BOULEVARD	BOULEVARD	TYPE	SUFFIX
LEXENTRY:	BRUCH	BRUCH	TYPE	SUFFIX
LEXENTRY:	BRÜCKE	BRÜCKE	TYPE	SUFFIX,DETACH
LEXENTRY:	BURG	BURG	TYPE	SUFFIX,DETACH
LEXENTRY:	BÜHL	BÜHL	TYPE	SUFFIX
LEXENTRY:	BÜHL 	BÜHL	TYPE	SUFFIX
LEXENTRY:	CH	CHAUSSEE	TYPE	DETACH,SUFFIX,PREFIX
LEXENTRY:	CH.	CHAUSSEE	TYPE	SUFFIX,PREFIX,DETACH
LEXENTRY:	CHAUSSEE	CHAUSSEE	TYPE	DETACH,PREFIX,SUFFIX
LEXENTRY:	CO	CO	PLACEN	DETACH
LEXENTRY:	DAMM	DAMM	TYPE	SUFFIX,DETACH
LEXENTRY:	DEICH	DEICH	TYPE	SUFFIX,DETACH
LEXENTRY:	DRIVE	DRIVE	TYPE	DETACH
LEXENTRY:	EG	EG	PLACEN	DETACH
