LEXICON:	lex-ireland.txt	ENG	en_IE
LEXENTRY:	1	1	WORD	DETACH
LEXENTRY:	10	10	WORD	DETACH
LEXENTRY:	10TH	10TH	WORD,ORD	DETACH
LEXENTRY:	11	11	WORD	DETACH
LEXENTRY:	11TH	11TH	WORD,ORD	DETACH
LEXENTRY:	12	12	WORD	DETACH
LEXENTRY:	12TH	12TH	WORD,ORD	DETACH
LEXENTRY:	13	13	WORD	DETACH
LEXENTRY:	13TH	13TH	WORD,ORD	DETACH
LEXENTRY:	14	14	WORD	DETACH
LEXENTRY:	14TH	14TH	WORD,ORD	DETACH
LEXENTRY:	15	15	WORD	DETACH
LEXENTRY:	15TH	15TH	WORD,ORD	DETACH
LEXENTRY:	16	16	WORD	DETACH
LEXENTRY:	16TH	16TH	WORD,ORD	DETACH
LEXENTRY:	17	17	WORD	DETACH
LEXENTRY:	17TH	17TH	WORD,ORD	DETACH
LEXENTRY:	18	18	WORD	DETACH
LEXENTRY:	18TH	18TH	WORD,ORD	DETACH
LEXENTRY:	19	19	WORD	DETACH
LEXENTRY:	19TH	19TH	WORD,ORD	DETACH
LEXENTRY:	1ST	1ST	WORD,ORD	DETACH
LEXENTRY:	2	2	WORD	DETACH
LEXENTRY:	20	20	WORD	DETACH
LEXENTRY:	20TH	20TH	WORD,ORD	DETACH
LEXENTRY:	2ND	2ND	WORD,ORD	DETACH
LEXENTRY:	3	3	WORD	DETACH
LEXENTRY:	30	30	WORD	DETACH
LEXENTRY:	30TH	30TH	WORD,ORD	DETACH
LEXENTRY:	3RD	3RD	WORD,ORD	DETACH
LEXENTRY:	4	4	WORD	DETACH
LEXENTRY:	40	40	WORD	DETACH
LEXENTRY:	40TH	40TH	WORD,ORD	DETACH
LEXENTRY:	4TH	4TH	WORD,ORD	DETACH
LEXENTRY:	5	5	WORD	DETACH
LEXENTRY:	50	50	WORD	DETACH
LEXENTRY:	50TH	50TH	WORD,ORD	DETACH
LEXENTRY:	5TH	5TH	WORD,ORD	DETACH
LEXENTRY:	6	6	WORD	DETACH
LEXENTRY:	60	60	WORD	DETACH
LEXENTRY:	60TH	60TH	WORD,ORD	DETACH
LEXENTRY:	6TH	6TH	WORD,ORD	DETACH
LEXENTRY:	7	7	WORD	DETACH
LEXENTRY:	70	70	WORD	DETACH
LEXENTRY:	70TH	70TH	WORD,ORD	DETACH
LEXENTRY:	7TH	7TH	WORD,ORD	DETACH
LEXENTRY:	8	8	WORD	DETACH
LEXENTRY:	80	80	WORD	DETACH
LEXENTRY:	80TH	80TH	WORD,ORD	DETACH
LEXENTRY:	8TH	8TH	WORD,ORD	DETACH
LEXENTRY:	9	9	WORD	DETACH
LEXENTRY:	90	90	WORD	DETACH
LEXENTRY:	90TH	90TH	WORD,ORD	DETACH
LEXENTRY:	9TH	9TH	WORD,ORD	DETACH
LEXENTRY:	ALLEY	AllEY	TYPE	DETACH
LEXENTRY:	ALLY	AllEY	TYPE	DETACH
LEXENTRY:	APARTMENT	APT	UNITH	DETACH
LEXENTRY:	APPR	APPROACH	TYPE	DETACH
LEXENTRY:	APPROACH	APPROACH	TYPE	DETACH
LEXENTRY:	APT	APT	UNITH	DETACH
LEXENTRY:	ARC	ARCADE	TYPE	DETACH
LEXENTRY:	ARCADE	ARCADE	TYPE	DETACH
LEXENTRY:	AV	AVENUE	TYPE	DETACH
LEXENTRY:	AVE	AVENUE	TYPE	DETACH
LEXENTRY:	AVENUE	AVENUE	TYPE	DETACH
LEXENTRY:	AllEY	AllEY	TYPE	DETACH
LEXENTRY:	B	B	UNITH	DETACH
LEXENTRY:	BANK	BANK	TYPE	DETACH
LEXENTRY:	BASEMENT	B	UNITH	DETACH
LEXENTRY:	BLDG	BLDG	UNITH	DETACH
LEXENTRY:	BOULEVARD	BOULEVARD	TYPE	DETACH
LEXENTRY:	BRIDGE	BRIDGE	TYPE	DETACH
LEXENTRY:	BROADWAY	BROADWAY	TYPE	DETACH
LEXENTRY:	BUILDING	BLDG	UNITH	DETACH
LEXENTRY:	BUILDINGS	BUILDINGS	TYPE	DETACH
LEXENTRY:	BUILDINS	BUILDINGS	TYPE	DETACH
LEXENTRY:	BVD	BOULEVARD	TYPE	DETACH
LEXENTRY:	CARLOW  	CO. CARLOW	PROV	DETACH
LEXENTRY:	CAUSEWAY	CAUSEWAY	TYPE	DETACH
LEXENTRY:	CAVAN	CO. CAVAN	PROV	DETACH
LEXENTRY:	CHASE	CHASE	TYPE	DETACH
LEXENTRY:	CHURCHYARD	CHURCHYARD	TYPE	DETACH
LEXENTRY:	CIRCLE	CIRCLE	TYPE	DETACH
LEXENTRY:	CIRCUS	CIRCUS	TYPE	DETACH
LEXENTRY:	CL	CLOSE	TYPE	DETACH
LEXENTRY:	CLARE	CO. CLARE	PROV	DETACH
LEXENTRY:	CLOSE	CLOSE	TYPE	DETACH
LEXENTRY:	CO	CO	PLACEN	DETACH
