LEXICON:	lex-puerto_rico.txt	SPA	es_PR
LEXENTRY:	ACUEDUCTO	ACUEDUCTO	TYPE	DETACH
LEXENTRY:	AUTOPISTA	AUTOPISTA	TYPE	DETACH
LEXENTRY:	AV	AVENIDA	TYPE	DETACH
LEXENTRY:	AV.	AVENIDA	TYPE	DETACH
LEXENTRY:	AVE	AVENIDA	TYPE	DETACH
LEXENTRY:	AVE.	AVENIDA	TYPE	DETACH
LEXENTRY:	AVENIDA	AVENIDA	TYPE	DETACH
LEXENTRY:	AVENIDA DE	AVENIDA DE	TYPE	DETACH
LEXENTRY:	AVENIDA DE LA	AVENIDA DE LA	TYPE	DETACH
LEXENTRY:	AVENIDA DE LAS	AVENIDA DE LAS	TYPE	DETACH
LEXENTRY:	AVENIDA DEL	AVENIDA DEL	TYPE	DETACH
LEXENTRY:	AVENUE	AVENUE	TYPE	DETACH
LEXENTRY:	BARRIO	BARRIO	TYPE	DETACH
LEXENTRY:	BLOQUE	BLQ	UNITH	DETACH
LEXENTRY:	BLQ	BLQ	UNITH	DETACH
LEXENTRY:	CALLE	CALLE	TYPE	DETACH
LEXENTRY:	CALLE DE	CALLE DE	TYPE	DETACH
LEXENTRY:	CALLE DE LA	CALLE DE LA	TYPE	DETACH
LEXENTRY:	CALLE DE LAS	CALLE DE LAS	TYPE	DETACH
LEXENTRY:	CALLE DE LOS	CALLE DE LOS	TYPE	DETACH
LEXENTRY:	CALLE DEL	CALLE DEL	TYPE	DETACH
LEXENTRY:	CALLEJÓN	CALLEJÓN	TYPE	DETACH
LEXENTRY:	CAMINO	CAMINO	TYPE	DETACH
LEXENTRY:	CAMINO DE	CAMINO DE	TYPE	DETACH
LEXENTRY:	CAMINO DE LA	CAMINO DE LA	TYPE	DETACH
LEXENTRY:	CAMINO DE LAS	CAMINO DE LAS	TYPE	DETACH
LEXENTRY:	CAMINO DE LOS	CAMINO DE LOS	TYPE	DETACH
LEXENTRY:	CAMINO DEL	CAMINO DEL	TYPE	DETACH
LEXENTRY:	CAMPO	CAMPO	TYPE	DETACH
LEXENTRY:	CARR	CARRETERA	TYPE	DETACH
LEXENTRY:	CARR.	CARRETERA	TYPE	DETACH
LEXENTRY:	CARRETERA	CARRETERA	TYPE	DETACH
LEXENTRY:	CUESTA	CUESTA	TYPE	DETACH
LEXENTRY:	CUESTA DE LAS	CUESTA DE LAS	TYPE	DETACH
LEXENTRY:	CUESTA DE LOS	CUESTA DE LOS	TYPE	DETACH
LEXENTRY:	PASAJE	PASAJE	TYPE	DETACH
LEXENTRY:	PASEO	PASEO	TYPE	DETACH
LEXENTRY:	PASEO DE	PASEO DE	TYPE	DETACH
LEXENTRY:	PASEO DE LA	PASEO DE LA	TYPE	DETACH
LEXENTRY:	PASEO DE LAS	PASEO DE LAS	TYPE	DETACH
LEXENTRY:	PASEO DE LOS	PASEO DE LOS	TYPE	DETACH
LEXENTRY:	PASEO DEL	PASEO DEL	TYPE	DETACH
LEXENTRY:	PLAZA	PLAZA	TYPE	DETACH
LEXENTRY:	PLAZA DE	PLAZA DE	TYPE	DETACH
LEXENTRY:	PLAZA DEL	PLAZA DEL	TYPE	DETACH
LEXENTRY:	PR	PUERTO RICO	NATION	DETACH
LEXENTRY:	PRI	PUERTO RICO	NATION	DETACH
LEXENTRY:	PUENTE	PUENTE	TYPE	DETACH
LEXENTRY:	PUERTO RICO	PUERTO RICO	NATION	DETACH
LEXENTRY:	PUERTO RICO	PR	PROV	DETACH
LEXENTRY:	RD	ROAD	TYPE	DETACH
LEXENTRY:	RD.	ROAD	TYPE	DETACH
LEXENTRY:	ROAD	ROAD	TYPE	DETACH
LEXENTRY:	ST	STREET	TYPE	DETACH
LEXENTRY:	ST.	STREET	TYPE	DETACH
LEXENTRY:	STREET	STREET	TYPE	DETACH
LEXENTRY:	VÍA	VÍA	TYPE	DETACH
LEXENTRY:	VÍA DE LA	VÍA DE LA	TYPE	DETACH
LEXENTRY:	VÍA DEL	VÍA DEL	TYPE	DETACH
