LEXICON:	lex-switzerland.txt	GER	gsw_CH
LEXENTRY:	AG	AG	PLACEN	DETACH
LEXENTRY:	AKTIEN	AKTIEN	PLACEN	DETACH
LEXENTRY:	AKTIEN-GESELLSCHAFT	AKTIEN-GESELLSCHAFT	PLACEN	DETACH
LEXENTRY:	AKTIENGESELLSCHAFT	AKTIENGESELLSCHAFT	PLACEN	DETACH
LEXENTRY:	ALLEE	ALLEE	TYPE	SUFFIX,DETACH
LEXENTRY:	ALLÉE	ALLÉE	TYPE	DETACH
LEXENTRY:	ALLÉE DE	ALLÉE DE	TYPE	DETACH
LEXENTRY:	ALLÉE DE LA	ALLÉE DE LA	TYPE	DETACH
LEXENTRY:	ALLÉE DES	ALLÉE DES	TYPE	DETACH
LEXENTRY:	ALLÉE DU	ALLÉE DU	TYPE	DETACH
LEXENTRY:	ALLÉE LE	ALLÉE LE	TYPE	DETACH
LEXENTRY:	ANCIEN CHEMIN	ANCIEN CHEMIN	TYPE	DETACH
LEXENTRY:	ANCIEN CHEMIN DE	ANCIEN CHEMIN DE	TYPE	DETACH
LEXENTRY:	ANCIENNE ROUTE	ANCIENNE ROUTE	TYPE	DETACH
LEXENTRY:	ANCIENNE ROUTE DE	ANCIENNE ROUTE DE	TYPE	DETACH
LEXENTRY:	ANSCHLUSSSTELLE	ANSCHLUSSSTELLE	TYPE	DETACH
LEXENTRY:	AUTOROUTE	AUTOROUTE	TYPE	DETACH
LEXENTRY:	AUTOROUTE DE	AUTOROUTE DE	TYPE	DETACH
LEXENTRY:	AUTOROUTE DU	AUTOROUTE DU	TYPE	DETACH
LEXENTRY:	AUTOSTRADA	AUTOSTRADA	TYPE	DETACH
LEXENTRY:	AV	AVENUE	TYPE	DETACH
LEXENTRY:	AV D'	AVENUE D'	TYPE	DETACH,PREFIX
LEXENTRY:	AV DE	AVENUE DE	TYPE	DETACH
LEXENTRY:	AV DE L'	AVENUE DE L'	TYPE	PREFIX,DETACH
LEXENTRY:	AV DE LA	AVENUE DE LA	TYPE	DETACH
LEXENTRY:	AV DES	AVENUE DES	TYPE	DETACH
LEXENTRY:	AV DU	AVENUE DU	TYPE	DETACH
LEXENTRY:	AV.	AVENUE	TYPE	DETACH
LEXENTRY:	AV. D'	AVENUE D'	TYPE	DETACH,PREFIX
