LEXICON:	lex-italy.txt	ITA	it_IT
LEXENTRY:	ACCESSO	ACCESSO	TYPE	DETACH
LEXENTRY:	ACCESSO A	ACCESSO A	TYPE	DETACH
LEXENTRY:	AGRIGENTO	AG	PROV	DETACH
LEXENTRY:	ALEJANDRIA	AL	PROV	DETACH
LEXENTRY:	ALESSANDRIA	AL	PROV	DETACH
LEXENTRY:	ALEXANDRIE	AL	PROV	DETACH
LEXENTRY:	ALLEE	ALLEE	TYPE	DETACH,SUFFIX
LEXENTRY:	ALLÉE	ALLÉE	TYPE	DETACH
LEXENTRY:	ALTO	ALTO	TYPE	DETACH
LEXENTRY:	ALZAIA	ALZAIA	TYPE	DETACH
LEXENTRY:	ANCIENNE ROUTE DE	ANCIENNE ROUTE DE	TYPE	DETACH
LEXENTRY:	ANCONA	AN	PROV	DETACH
LEXENTRY:	ANCÔNE	AN	PROV	DETACH
LEXENTRY:	AOSTA	AO	PROV	DETACH
LEXENTRY:	AOSTE	AO	PROV	DETACH
LEXENTRY:	ARCHIVOLTO	ARCHIVOLTO	TYPE	DETACH
LEXENTRY:	ARCHIVOLTO DELLE	ARCHIVOLTO DELLE	TYPE	DETACH
LEXENTRY:	ARCHIVOLTO DI	ARCHIVOLTO DI	TYPE	DETACH
LEXENTRY:	ARCO	ARCO	TYPE	DETACH
LEXENTRY:	AREZZO	AR	PROV	DETACH
LEXENTRY:	ASCOLI PICENO	AP	PROV	DETACH
LEXENTRY:	ASSOCIAZIONE	ASSOCIAZIONE	PLACEN	DETACH
LEXENTRY:	ASTI	AT	PROV	DETACH
LEXENTRY:	AUTOSTRADA	AUTOSTRADA	TYPE	DETACH
LEXENTRY:	AUTOSTRADA D'	AUTOSTRADA D'	TYPE	DETACH,PREFIX
LEXENTRY:	AUTOSTRADA DEI	AUTOSTRADA DEI	TYPE	DETACH
LEXENTRY:	AUTOSTRADA DEL	AUTOSTRADA DEL	TYPE	DETACH
LEXENTRY:	AUTOSTRADA DELLA	AUTOSTRADA DELLA	TYPE	DETACH
LEXENTRY:	AVELLINO	AV	PROV	DETACH
LEXENTRY:	AVENUE	AVENUE	TYPE	DETACH
LEXENTRY:	AVENUE DE	AVENUE DE	TYPE	DETACH
LEXENTRY:	AVENUE DE LA	AVENUE DE LA	TYPE	DETACH
LEXENTRY:	AVENUE DES	AVENUE DES	TYPE	DETACH
LEXENTRY:	AVENUE DU	AVENUE DU	TYPE	DETACH
LEXENTRY:	AZIENDA	AZIENDA	PLACEN	DETACH
LEXENTRY:	BACH	BACH	TYPE	DETACH,SUFFIX
LEXENTRY:	BACINO	BACINO	TYPE	DETACH
LEXENTRY:	BANCA	BANCA	PLACEN	DETACH
LEXENTRY:	BANCO	BANCO	PLACEN	DETACH
LEXENTRY:	BARI	BA 	PROV	DETACH
LEXENTRY:	BARRIERA	BARRIERA	TYPE	DETACH
LEXENTRY:	BASTIONE	BASTIONE	TYPE	DETACH
LEXENTRY:	BASTIONE DELLA	BASTIONE DELLA	TYPE	DETACH
LEXENTRY:	BASTIONI DI	BASTIONI DI	TYPE	DETACH
LEXENTRY:	BELLUNO	BL	PROV	DETACH
LEXENTRY:	BELVEDERE	BELVEDERE	TYPE	DETACH
LEXENTRY:	BENEVENTO	BN 	PROV	DETACH
LEXENTRY:	BERG	BERG	TYPE	SUFFIX,DETACH
LEXENTRY:	BERGAME 	BL	PROV	DETACH
LEXENTRY:	BERGAMO	BG 	PROV	DETACH
LEXENTRY:	BERGWEG	BERGWEG	TYPE	DETACH,SUFFIX
LEXENTRY:	BIELLA	BI	PROV	DETACH
LEXENTRY:	BOLOGNA	BO	PROV	DETACH
LEXENTRY:	BOLOGNE	BO	PROV	DETACH
LEXENTRY:	BOLONIA	BO	PROV	DETACH
LEXENTRY:	BOLZANO	BOLZANO-BOZEN	PROV	DETACH
LEXENTRY:	BORGATA	BORGATA	TYPE	DETACH
LEXENTRY:	BORGO	BORGO	TYPE	DETACH
LEXENTRY:	BOULEVARD	BOULEVARD	TYPE	DETACH
LEXENTRY:	BOULEVARD DES	BOULEVARD DES	TYPE	DETACH
LEXENTRY:	BOZEN	BOLZANO-BOZEN	PROV	DETACH
LEXENTRY:	BRESCIA	BS	PROV	DETACH
LEXENTRY:	BRINDES	BR	PROV	DETACH
LEXENTRY:	BRINDIS	BR	PROV	DETACH
LEXENTRY:	BRINDISI	BR	PROV	DETACH
LEXENTRY:	BRÜCKE	BRÜCKE	TYPE	DETACH,SUFFIX
LEXENTRY:	BURG	BURG	TYPE	SUFFIX,DETACH
LEXENTRY:	BZ	BOLZANO-BOZEN	PROV	DETACH
LEXENTRY:	C.DA	CONTRADA	TYPE	DETACH
LEXENTRY:	C.L	CALLE	TYPE	DETACH
LEXENTRY:	C.PO	CAMPO	TYPE	DETACH
LEXENTRY:	C.SO	CORSO	TYPE	DETACH
LEXENTRY:	CA'	CA'	TYPE	DETACH
LEXENTRY:	CA' DEI	CA' DEI	TYPE	DETACH
LEXENTRY:	CA' DEL	CA' DEL	TYPE	DETACH
LEXENTRY:	CA' DI	CA' DI	TYPE	DETACH
LEXENTRY:	CAGLIARI	CA	PROV	DETACH
LEXENTRY:	CAL	CAL	TYPE	DETACH
LEXENTRY:	CALATA	CALATA	TYPE	DETACH
LEXENTRY:	CALLE	CALLE	TYPE	DETACH
LEXENTRY:	CALLE DEL	CALLE DEL	TYPE	DETACH
LEXENTRY:	CALLER	CA	PROV	DETACH
LEXENTRY:	CALTANISSETTA	CL	PROV	DETACH
LEXENTRY:	CAMPIELLO	CAMPIELLO	TYPE	DETACH
LEXENTRY:	CAMPO	CAMPO	TYPE	DETACH
LEXENTRY:	CAMPOBASSO	CB 	PROV	DETACH
LEXENTRY:	CANTON	CANTON	TYPE	DETACH
LEXENTRY:	CANTONE	CANTONE	TYPE	DETACH
